AccountNumber,Usagedate,Value,Meternumber
0101280-110404,10/15/2019,5,0101280-10450-1
0101280-110404,2/12/2019,14,0101280-10450-1
0101280-110404,8/14/2019,13,0101280-10450-1
0101280-110404,12/15/2020,20,0101280-10450-1
0101280-110404,10/12/2021,15,0101280-10450-1
0101280-110404,10/13/2020,20,0101280-10450-1
0101280-110404,6/17/2019,8,0101280-10450-1
0101280-110404,8/17/2020,22,0101280-10450-1
0101280-110404,2/12/2020,1,0101280-10450-1
0101280-110404,4/13/2021,16,0101280-10450-1
0101280-110404,12/14/2021,15,0101280-10450-1
0101280-110404,2/15/2022,16,0101280-10450-1
0101280-110404,4/15/2019,10,0101280-10450-1
0101280-110404,6/15/2020,18,0101280-10450-1
0101280-110404,8/16/2021,20,0101280-10450-1
0101280-110404,4/14/2020,1,0101280-10450-1
0101280-110404,2/16/2021,20,0101280-10450-1
0101280-110404,6/14/2021,16,0101280-10450-1
0101280-110404,4/12/2022,14,0101280-10450-1
0101280-110404,12/16/2019,0,0101280-10450-1
0202320-657225,6/15/2020,19,0202320-10450-1
0202320-657225,12/15/2020,32,0202320-10450-1
0202320-657225,4/12/2022,28,0202320-10450-1
0202320-657225,10/13/2020,30,0202320-10450-1
0202320-657225,2/15/2022,26,0202320-10450-1
0202320-657225,2/12/2020,12,0202320-10450-1
0202320-657225,8/17/2020,19,0202320-10450-1
0204040-657296,8/14/2019,9,0204040-10450-1
0350060-660237,12/14/2021,4,0350060-10450-1
0350060-660237,4/12/2022,26,0350060-10450-1
0350060-660237,12/15/2020,15,0350060-10450-1
0350060-660237,2/15/2022,28,0350060-10450-1
0401740-1725,4/15/2019,6,0401740-10450-1
0401740-1725,4/14/2020,5,0401740-10450-1
0401740-1725,2/16/2021,11,0401740-10450-1
0350060-660237,2/16/2021,37,0350060-10450-1
0403120-578380,6/17/2019,35,0403120-10450-1
0403120-578380,10/15/2019,35,0403120-10450-1
0403120-578380,2/12/2020,16,0403120-10450-1
0403120-578380,4/12/2022,16,0403120-10450-1
0401740-1725,6/15/2020,6,0401740-10450-1
0401740-1725,6/14/2021,12,0401740-10450-1
